symbol,shortName,exchange,sector,industry,eodprice,regularMarketPrice,pct_1w,pct_1m,rel_volume,revenueGrowth,earningsQuarterlyGrowth,pegRatio,trailingPE,score_raw,score_norm,rank,pct_1w_n,pct_1m_n,rel_volume_n,revenueGrowth_n,earningsQuarterlyGrowth_n,rec_n,insider_n,valuation_n,kept,dropped_due_to
REPL,"Replimune Group, Inc.",NMS,Healthcare,Biotechnology,9.87,9.845,9.4444,243.2056,0.3402,,,,,0.57298,1.0,1,0.605646,1.0,0.189329,0.5,0.5,0.5,0.5,0.5,True,
PHVS,Pharvaris N.V.,NMS,Healthcare,Biotechnology,31.63,31.24,7.0447,3.7642,1.6226,,,,,0.530982,0.885537,2,0.561719,0.159445,1.0,0.5,0.5,0.5,0.5,0.5,True,
LEGN,Legend Biotech Corporation,NMS,Healthcare,Biotechnology,34.2,33.43,30.9879,17.2045,0.4798,0.565,,,,0.502495,0.807899,3,1.0,0.217015,0.277578,0.056628,0.5,0.5,0.5,0.5,True,
OPK,"Opko Health, Inc.",NMS,Healthcare,Diagnostics & Research,1.46,1.475,5.0,30.0885,1.0084,-0.172,,93.65,,0.418571,0.579174,4,0.524291,0.272203,0.611733,0.029279,0.5,0.5,0.5,0.25,True,
MMED,"MiniMed Group, Inc.",NMS,Healthcare,Medical Instruments & Supplies,14.06,14.1,17.5,20.7192,0.2027,0.156,,,,0.407977,0.5503,5,0.753104,0.23207,0.102408,0.04145,0.5,0.5,0.5,0.5,True,
NUVB,Nuvation Bio Inc.,NYQ,Healthcare,Biotechnology,5.17,4.765,-3.9315,-1.3458,0.3193,25.987,,,,0.407202,0.548187,6,0.360799,0.137557,0.176117,1.0,0.5,0.5,0.5,0.5,True,
SYRE,"Spyre Therapeutics, Inc.",NMS,Healthcare,Biotechnology,78.48,74.93,6.2234,5.5203,0.3224,,,,,0.404838,0.541744,7,0.546685,0.166967,0.178077,0.5,0.5,0.5,0.5,0.5,True,
ONC,BeOne Medicines Ltd.,NMS,Healthcare,Biotechnology,279.93,272.1,-2.6101,-8.4406,0.7875,0.355,178.021,0.0035,61.6244,0.403345,0.537677,8,0.384988,0.107167,0.472091,0.048835,1.0,0.5,0.5,0.986165,True,
MPLT,"MapLight Therapeutics, Inc.",NMS,Healthcare,Biotechnology,30.1,28.855,-3.041,3.3489,0.8056,,,,,0.401498,0.532642,9,0.3771,0.157666,0.483532,0.5,0.5,0.5,0.5,0.5,True,
TXG,"10x Genomics, Inc.",NMS,Healthcare,Health Information Services,33.5,31.24,5.5762,41.9355,0.6082,-0.026,,,,0.400861,0.530906,10,0.534838,0.322948,0.358746,0.034696,0.5,0.5,0.5,0.5,True,
TRAX,"First Tracks Biotherapeutics, I",NMS,Healthcare,Biotechnology,18.2,17.37,-3.9801,-18.0274,1.0046,,,,,0.399073,0.526033,11,0.35991,0.066103,0.609331,0.5,0.5,0.5,0.5,0.5,True,
NVS,Novartis AG,NYQ,Healthcare,Drug Manufacturers - General,148.4,148.66,2.0456,2.1718,1.4616,-0.007,-0.125,3.87,21.3286,0.39781,0.522592,12,0.47021,0.152624,0.898224,0.035402,0.004626,0.5,0.5,0.974488,True,
TWST,Twist Bioscience Corporation,NMS,Healthcare,Diagnostics & Research,73.93,70.21,3.3156,23.6508,0.781,0.193,,,,0.392537,0.508221,13,0.493458,0.244627,0.467982,0.042823,0.5,0.5,0.5,0.5,True,
MRK,"Merck & Company, Inc.",NYQ,Healthcare,Drug Manufacturers - General,120.26,123.075,6.8507,8.7583,0.4717,0.049,,5.38,34.6648,0.383108,0.482522,14,0.558168,0.180837,0.272457,0.03748,0.5,0.5,0.5,0.963473,True,
SPTX,"Seaport Therapeutics, Inc.",NMS,Healthcare,Biotechnology,17.88,17.74,3.9113,11.25,0.1504,,,,,0.381095,0.477037,15,0.504362,0.19151,0.069347,0.5,0.5,0.5,0.5,0.5,True,
LMRI,"Lumexa Imaging Holdings, Inc.",NMS,Healthcare,Medical Devices,8.24,8.56,16.5986,-11.9219,0.2268,0.031,,,,0.379919,0.473831,16,0.736603,0.092256,0.117643,0.036812,0.5,0.5,0.5,0.5,True,
WGS,GeneDx Holdings Corp.,NMS,Healthcare,Diagnostics & Research,56.27,52.84,1.5288,52.9846,0.4552,0.174,,,,0.375018,0.460474,17,0.46075,0.370276,0.262027,0.042118,0.5,0.5,0.5,0.5,True,
MESO,Mesoblast Limited,NMS,Healthcare,Biotechnology,14.93,14.2,-4.4415,-10.0697,0.5773,15.268,,,,0.374594,0.459318,18,0.351464,0.100189,0.339212,0.602234,0.5,0.5,0.5,0.5,True,
MRVI,"Maravai LifeSciences Holdings, ",NMS,Healthcare,Biotechnology,4.99,4.955,4.3158,28.7013,0.4506,0.405,,,,0.371172,0.449993,19,0.511766,0.266261,0.259119,0.05069,0.5,0.5,0.5,0.5,True,
