symbol,shortName,exchange,sector,industry,eodprice,regularMarketPrice
ZS,"Zscaler, Inc.",NMS,Technology,Software - Infrastructure,155.71,143.355
ZM,"Zoom Communications, Inc.",NMS,Technology,Software - Application,111.62,111.825
ZETA,Zeta Global Holdings Corp.,NYQ,Technology,Software - Infrastructure,25.22,24.76
ZBRA,Zebra Technologies Corporation,NMS,Technology,Communication Equipment,249.96,252.26
YOU,"Clear Secure, Inc.",NYQ,Technology,Software - Application,57.43,57.37
YMM,Full Truck Alliance Co. Ltd.,NYQ,Technology,Software - Application,9.02,9.555
YALA,Yalla Group Limited,NYQ,Technology,Software - Application,5.8,5.66
XYZ,"Block, Inc.",NYQ,Technology,Software - Infrastructure,76.1,74.4668
XPER,Xperi Inc.,NYQ,Technology,Software - Application,7.8,7.735
XNET,Xunlei Limited,NMS,Technology,Software - Infrastructure,5.98,5.53
WSE,Wise Group plc,NMS,Technology,Information Technology Services,12.1,11.76
WOLF,"Wolfspeed, Inc.",NYQ,Technology,Semiconductors,52.95,59.89
WLTH,Wealthfront Corporation,NMS,Technology,Software - Application,12.19,12.195
WK,Workiva Inc.,NYQ,Technology,Software - Application,52.83,51.545
WIX,Wix.com Ltd.,NMS,Technology,Software - Infrastructure,62.54,58.05
WEX,WEX Inc.,NYQ,Technology,Software - Infrastructure,149.42,146.725
WDAY,"Workday, Inc.",NMS,Technology,Software - Application,157.23,147.62
VYX,NCR Voyix Corporation,NYQ,Technology,Information Technology Services,7.49,7.145
VSH,"Vishay Intertechnology, Inc.",NYQ,Technology,Semiconductors,55.99,63.26
VSAT,"ViaSat, Inc.",NMS,Technology,Communication Equipment,72.86,73.48
VRSN,"VeriSign, Inc.",NMS,Technology,Software - Infrastructure,296.59,301.99
VRNS,"Varonis Systems, Inc.",NMS,Technology,Software - Infrastructure,36.11,35.44
VPG,"Vishay Precision Group, Inc.",NYQ,Technology,Scientific & Technical Instruments,126.24,134.44
VNT,Vontier Corporation,NYQ,Technology,Scientific & Technical Instruments,28.46,28.34
VNET,"VNET Group, Inc.",NMS,Technology,Information Technology Services,10.6,10.935
VISN,"Vistance Networks, Inc.",NMS,Technology,Communication Equipment,12.27,12.34
VICR,Vicor Corporation,NMS,Technology,Electronic Components,328.85,320.3
VIAV,Viavi Solutions Inc.,NMS,Technology,Communication Equipment,47.49,52.0
VIA,"Via Transportation, Inc.",NYQ,Technology,Software - Application,17.04,15.7
VECO,Veeco Instruments Inc.,NMS,Technology,Semiconductor Equipment & Materials,57.245,58.81
UPBD,"Upbound Group, Inc.",NMS,Technology,Software - Application,19.06,18.7
UMC,United Microelectronics Corpora,NYQ,Technology,Semiconductors,22.89,22.305
UCTT,"Ultra Clean Holdings, Inc.",NMS,Technology,Semiconductor Equipment & Materials,84.7,88.165
UBER,"Uber Technologies, Inc.",NYQ,Technology,Software - Application,73.77,72.01
U,Unity Software Inc.,NYQ,Technology,Software - Application,32.17,30.84
TYL,"Tyler Technologies, Inc.",NYQ,Technology,Software - Application,329.83,311.705
TXN,Texas Instruments Incorporated,NMS,Technology,Semiconductors,293.2,301.91
TWLO,Twilio Inc.,NYQ,Technology,Software - Infrastructure,227.54,225.405
TTMI,"TTM Technologies, Inc.",NMS,Technology,Electronic Components,172.44,179.02
TTAN,"ServiceTitan, Inc.",NMS,Technology,Software - Application,77.68,73.54
TSM,Taiwan Semiconductor Manufactur,NYQ,Technology,Semiconductors,435.63,443.95
