symbol,shortName,exchange,sector,industry,eodprice,regularMarketPrice,pct_1w,pct_1m,rel_volume,revenueGrowth,earningsQuarterlyGrowth,pegRatio,trailingPE
ZS,"Zscaler, Inc.",NMS,Technology,Software - Infrastructure,130.78,129.77,-10.0173,-14.7374,0.5244,0.2540,,1.4200,
ZM,"Zoom Communications, Inc.",NMS,Technology,Software - Application,101.62,100.76,-9.9482,-7.7465,0.3459,0.0550,0.6720,4.2100,14.8380
ZETA,Zeta Global Holdings Corp.,NYQ,Technology,Software - Infrastructure,22.02,21.7499,-13.9208,26.8086,0.5137,0.4990,,0.7700,
ZBRA,Zebra Technologies Corporation,NMS,Technology,Communication Equipment,232.11,235.63,-7.3298,4.3180,0.6155,0.1430,-0.0070,0.5000,28.4427
YOU,"Clear Secure, Inc.",NYQ,Technology,Software - Application,54.52,55.13,-2.9059,-2.9572,0.3568,0.1970,0.5270,0.8369,44.1040
YMM,Full Truck Alliance Co. Ltd.,NYQ,Technology,Software - Application,8.59,8.37,-11.8822,-4.8808,0.4053,0.0550,-0.2190,,14.2034
YALA,Yalla Group Limited,NYQ,Technology,Software - Application,5.29,5.36,-5.1327,-23.6467,0.6551,-0.0580,-0.2200,0.5900,6.7848
XYZ,"Block, Inc.",NYQ,Technology,Software - Infrastructure,68.15,69.75,-5.9541,-6.8337,0.5287,0.0490,,0.7600,54.4805
XPER,Xperi Inc.,NYQ,Technology,Software - Application,7.42,7.575,-5.1940,-5.6663,0.2495,0.0020,,,
WSE,Wise Group plc,NMS,Technology,Information Technology Services,11.19,11.02,-4.5061,-28.4416,0.4362,0.0920,-0.1390,4.6000,22.0400
WOLF,"Wolfspeed, Inc.",NYQ,Technology,Semiconductors,55.06,55.845,-8.5408,19.8391,0.8561,-0.1900,,,
WLTH,Wealthfront Corporation,NMS,Technology,Software - Application,9.85,8.315,-32.4533,-27.5065,4.3804,0.0710,-0.5050,,
WK,Workiva Inc.,NYQ,Technology,Software - Application,49.13,48.065,-7.4605,-6.2878,0.5223,0.1990,,,200.2708
WIX,Wix.com Ltd.,NMS,Technology,Software - Infrastructure,52.39,48.925,-14.3683,-39.0040,0.7271,0.1430,,0.1200,
WEX,WEX Inc.,NYQ,Technology,Software - Infrastructure,148.21,148.745,0.2663,5.0162,0.3883,0.0580,0.0870,0.8500,16.7506
WDAY,"Workday, Inc.",NMS,Technology,Software - Application,144.28,143.735,-3.4491,12.4501,0.3418,0.1350,2.2650,0.5700,44.9203
VYX,NCR Voyix Corporation,NYQ,Technology,Information Technology Services,6.91,7.105,-2.2696,-14.9102,0.5225,-0.0100,,2.6800,25.3750
VSH,"Vishay Intertechnology, Inc.",NYQ,Technology,Semiconductors,57.2,56.78,-9.1375,65.7326,1.7390,0.1730,,1.3500,5678.0000
VSAT,"ViaSat, Inc.",NMS,Technology,Communication Equipment,67.18,64.48,-11.2106,-7.9132,1.1905,0.0210,,0.2600,
VRSN,"VeriSign, Inc.",NMS,Technology,Software - Infrastructure,294.92,289.52,-2.6529,0.7218,0.3029,0.0660,0.0760,3.5600,31.9912
VRNS,"Varonis Systems, Inc.",NMS,Technology,Software - Infrastructure,32.69,33.06,-7.8595,15.8780,0.1909,0.2690,,7.3800,
VPG,"Vishay Precision Group, Inc.",NYQ,Technology,Scientific & Technical Instruments,117.51,118.41,-10.9230,76.1005,0.7229,0.1760,,6.5300,263.1334
VNT,Vontier Corporation,NYQ,Technology,Scientific & Technical Instruments,28.15,28.685,1.1455,-4.5689,0.5550,0.0130,0.0730,0.8400,10.1378
VNET,"VNET Group, Inc.",NMS,Technology,Information Technology Services,8.84,9.045,-16.0946,1.6292,0.4091,0.1980,,0.4500,
VISN,"Vistance Networks, Inc.",NMS,Technology,Communication Equipment,11.75,11.995,-3.5772,2.3464,0.2306,0.2160,6.0260,2.9400,17.6397
VICR,Vicor Corporation,NMS,Technology,Electronic Components,271.04,273.345,-17.9021,6.5797,0.5678,0.2020,7.1390,0.1285,91.7265
VIAV,Viavi Solutions Inc.,NMS,Technology,Communication Equipment,47.56,48.405,-8.4720,-5.4872,0.5488,0.4280,-0.6720,1.3400,
VIA,"Via Transportation, Inc.",NYQ,Technology,Software - Application,14.74,14.79,-4.2098,-14.5581,0.5185,0.2920,,,
VECO,Veeco Instruments Inc.,NMS,Technology,Semiconductor Equipment & Materials,58.45,61.3648,0.4180,3.1050,0.4856,-0.0540,,0.8100,161.2237
UPBD,"Upbound Group, Inc.",NMS,Technology,Software - Application,18.27,18.81,1.0747,0.1597,0.3426,0.0370,0.4440,1.3900,13.0625
UMC,United Microelectronics Corpora,NYQ,Technology,Semiconductors,19.7,20.155,-10.2627,30.7069,0.7575,0.0550,1.0790,1.4700,32.5081
UCTT,"Ultra Clean Holdings, Inc.",NMS,Technology,Semiconductor Equipment & Materials,82.07,84.18,-6.6179,-3.2836,0.4890,0.0290,,0.9900,
UBER,"Uber Technologies, Inc.",NYQ,Technology,Software - Application,70.71,70.495,-1.5429,-6.5408,0.5768,0.1450,-0.8520,5.7400,17.4975
U,Unity Software Inc.,NYQ,Technology,Software - Application,29.17,29.055,-5.5736,3.1783,0.3488,0.1680,,,
TYL,"Tyler Technologies, Inc.",NYQ,Technology,Software - Application,312.07,305.49,-2.5737,-5.8814,0.5799,0.0860,0.0020,1.5100,42.1947
TXN,Texas Instruments Incorporated,NMS,Technology,Semiconductors,285.06,292.62,-4.9688,1.7408,0.5354,0.1860,0.3100,1.3600,50.1387
TWLO,Twilio Inc.,NYQ,Technology,Software - Infrastructure,225.99,213.52,-6.8317,5.9172,0.7142,0.2000,3.5030,0.4200,323.6894
TTMI,"TTM Technologies, Inc.",NMS,Technology,Electronic Components,167.62,179.98,0.3173,14.5445,0.6817,0.3040,0.5530,0.3600,97.9293
TTAN,"ServiceTitan, Inc.",NMS,Technology,Software - Application,77.4,74.215,-1.0399,17.7506,1.1724,0.2460,,,
TSM,Taiwan Semiconductor Manufactur,NYQ,Technology,Semiconductors,415.17,428.095,-4.1013,4.0541,0.6370,0.3510,0.5830,1.2900,36.7069
TSEM,Tower Semiconductor Ltd.,NMS,Technology,Semiconductors,235.48,243.67,-11.3137,15.4535,0.3178,0.1550,0.6200,6.7800,112.7917
TSAT,Telesat Corporation,NMS,Technology,Communication Equipment,44.56,44.58,-11.0889,-18.4263,1.4343,-0.2540,,,
TRMB,Trimble Inc.,NMS,Technology,Scientific & Technical Instruments,54.19,53.9501,-6.5466,-11.2500,0.7967,0.1180,0.4830,3.0200,28.2539
TOST,"Toast, Inc.",NYQ,Technology,Software - Infrastructure,24.64,24.305,-7.7230,-2.9341,0.5242,0.2190,1.2500,0.2300,36.2910
TER,"Teradyne, Inc.",NMS,Technology,Semiconductor Equipment & Materials,357.93,376.52,-4.0841,4.7134,0.4172,0.8700,3.0340,1.4200,69.7380
TENB,"Tenable Holdings, Inc.",NMS,Technology,Software - Infrastructure,27.85,27.725,-10.2589,27.0270,0.3626,0.0960,,0.9900,
TEL,TE Connectivity plc,NYQ,Technology,Electronic Components,212.65,206.11,-4.0143,0.3427,0.9831,0.1450,64.7690,0.9800,21.0746
TEAM,Atlassian Corporation,NMS,Technology,Software - Application,99.47,97.765,-10.3208,6.8122,0.2362,0.3170,,0.7600,
TDC,Teradata Corporation,NYQ,Technology,Software - Infrastructure,33.7,33.755,-7.5459,6.8534,0.3236,0.0620,6.6140,6.0000,7.7243
TASK,"TaskUs, Inc.",NMS,Technology,Information Technology Services,5.74,5.655,-12.5966,-12.2576,0.7932,0.1030,0.1510,0.3314,5.0044
SYNA,Synaptics Incorporated,NMS,Technology,Semiconductors,122.78,134.845,-8.0320,7.0796,1.0307,0.1040,,0.5100,
SWKS,"Skyworks Solutions, Inc.",NMS,Technology,Semiconductors,73.57,75.96,-3.8928,14.8558,0.8307,-0.0100,-0.4820,1.5900,31.6833
SVCO,"Silvaco Group, Inc.",NMS,Technology,Software - Application,11.3,11.4902,-5.5875,0.0000,0.9717,0.2600,,,
STNE,StoneCo Ltd.,NMS,Technology,Software - Infrastructure,10.4,10.585,-5.8274,-1.7177,0.4741,0.0430,2.3170,0.0167,3.8773
STM,STMicroelectronics N.V.,NYQ,Technology,Semiconductors,70.72,75.61,-4.8170,27.9027,0.8732,0.2300,-0.3390,0.5100,473.0000
ST,Sensata Technologies Holding pl,NYQ,Technology,Scientific & Technical Instruments,49.84,50.75,-4.4984,13.2365,0.5443,0.0260,0.2460,0.3000,153.7576
SSYS,"Stratasys, Ltd.",NMS,Technology,Computer Hardware,8.85,8.88,-15.3343,4.3415,0.5399,-0.0250,,2.0600,
SSNC,"SS&C Technologies Holdings, Inc",NMS,Technology,Software - Application,69.91,68.475,0.3738,-0.0147,0.4634,0.0880,0.0620,0.7200,21.2655
SRAD,Sportradar Group AG,NMS,Technology,Software - Application,13.9,15.165,10.8918,16.3344,1.1173,0.1130,,,60.6800
SPSC,"SPS Commerce, Inc.",NMS,Technology,Software - Application,55.47,55.12,-4.6367,-2.3907,0.6178,0.0580,-0.1110,4.5500,22.8714
SONY,Sony Group Corporation,NYQ,Technology,Consumer Electronics,21.89,22.225,-2.4792,10.2978,0.3912,0.1540,-0.5810,1.9900,20.7710
SONO,"Sonos, Inc.",NMS,Technology,Consumer Electronics,15.08,14.9,-9.5331,-1.0631,0.3690,0.0840,,,87.6465
SNX,TD SYNNEX Corporation,NYQ,Technology,Electronics & Computer Distribution,268.8,270.04,-3.3258,12.9544,0.3865,0.1810,0.9510,1.5300,22.4659
SNPS,"Synopsys, Inc.",NMS,Technology,Software - Infrastructure,464.85,473.69,-6.7935,-8.2607,0.3859,0.4190,-0.9500,2.9500,108.4245
SNOW,Snowflake Inc.,NYQ,Technology,Software - Application,238.26,241.705,-7.4114,58.6002,0.4317,0.3350,,6.1600,
SMTC,Semtech Corporation,NMS,Technology,Semiconductors,151.02,157.505,-5.4732,29.3079,0.7147,0.1590,0.3730,1.2100,
SMCI,"Super Micro Computer, Inc.",NMS,Technology,Computer Hardware,41.64,44.45,-11.3315,25.7704,0.5683,1.2270,3.4440,0.9100,23.4138
SLAB,"Silicon Laboratories, Inc.",NMS,Technology,Semiconductors,218.11,218.205,-0.2491,0.3472,0.4149,0.2010,,3.1200,
SIMO,Silicon Motion Technology Corpo,NMS,Technology,Semiconductors,258.7,262.905,-12.5203,3.9276,0.5771,1.0550,2.4320,0.7000,52.1881
SHOP,Shopify Inc.,NMS,Technology,Software - Application,109.54,111.74,-4.4483,1.2635,0.4557,0.3430,,2.1000,109.6128
SEDG,"SolarEdge Technologies, Inc.",NMS,Technology,Solar,63.17,65.0,-17.2080,57.3850,0.3612,0.4150,,4.6100,
SCSC,"ScanSource, Inc.",NMS,Technology,Electronics & Computer Distribution,46.71,48.12,0.0832,4.8366,0.5186,0.0880,-0.0310,0.7100,14.6261
SAP,SAP  SE,NYQ,Technology,Software - Application,184.77,182.81,-4.1924,5.2504,0.4340,0.0600,0.0850,1.6100,25.2514
SANM,Sanmina Corporation,NMS,Technology,Electronic Components,252.08,251.79,-9.4590,1.4818,0.6034,1.0230,0.4580,0.9900,53.5096
SAIL,"SailPoint, Inc.",NMS,Technology,Software - Infrastructure,18.24,17.895,-9.6522,46.5658,0.6879,0.2270,,,
SAIC,Science Applications Internatio,NMS,Technology,Information Technology Services,114.35,114.41,0.9263,21.8035,0.2866,0.0150,0.6910,0.1862,12.8695
S,"SentinelOne, Inc.",NYQ,Technology,Software - Infrastructure,15.95,15.725,-9.3660,-5.2140,0.4327,0.2080,,,
RUN,Sunrun Inc.,NMS,Technology,Solar,13.355,13.67,-10.3934,-6.4682,0.5940,0.4320,2.3520,3.0700,6.4155
ROP,"Roper Technologies, Inc.",NMS,Technology,Software - Application,332.18,334.42,-0.5854,-2.5603,0.3980,0.1130,0.5370,1.3600,20.8951
ROG,Rogers Corporation,NYQ,Technology,Electronic Components,137.67,139.605,-9.4767,-0.7500,0.3740,0.0520,,0.5200,
RNG,"Ringcentral, Inc.",NYQ,Technology,Software - Application,42.29,40.93,-11.7533,-10.1850,0.3530,0.0530,,0.2300,43.5319
RMBS,"Rambus, Inc.",NMS,Technology,Semiconductors,145.31,155.94,-6.4996,20.6499,0.8656,0.0810,-0.0070,3.8000,73.9052
RELY,"Remitly Global, Inc.",NMS,Technology,Software - Infrastructure,18.77,18.565,-7.4988,-22.7424,0.4391,0.2520,3.3210,0.1165,38.6771
RDWR,Radware Ltd.,NMS,Technology,Software - Infrastructure,27.94,28.38,-10.0475,3.2751,0.2313,0.1070,-0.1840,22.7900,64.5000
RBRK,"Rubrik, Inc.",NYQ,Technology,Software - Infrastructure,73.41,71.2,-13.4337,14.3247,0.6429,0.3900,,,
RAMP,"LiveRamp Holdings, Inc.",NYQ,Technology,Software - Infrastructure,37.42,37.545,-0.0931,23.5846,0.9029,0.0920,,0.5900,16.8363
RAL,Ralliant Corporation,NYQ,Technology,Electronic Components,60.12,60.86,-1.8229,28.8588,0.2839,0.1100,-0.3080,,
QTWO,"Q2 Holdings, Inc.",NYQ,Technology,Software - Application,45.71,45.11,-7.7128,-10.0140,0.4581,0.1410,4.6050,8.3500,39.9204
QRVO,"Qorvo, Inc.",NMS,Technology,Semiconductors,98.28,100.27,-2.3457,10.8251,0.8065,-0.0700,-0.0520,0.9800,27.7155
