symbol,shortName,exchange,sector,industry,eodprice,regularMarketPrice,pct_1w,pct_1m,rel_volume,revenueGrowth,earningsQuarterlyGrowth,pegRatio,trailingPE
ZETA,Zeta Global Holdings Corp.,NYQ,Technology,Software - Infrastructure,25.22,24.76,29.6763,36.7010,1.5256,0.4990,,0.7700,
YMM,Full Truck Alliance Co. Ltd.,NYQ,Technology,Software - Application,9.02,9.555,10.5110,10.3828,1.0686,0.0550,-0.2190,,16.1271
YALA,Yalla Group Limited,NYQ,Technology,Software - Application,5.8,5.66,-7.0840,-15.9464,0.7575,-0.0580,-0.2200,0.5900,7.1392
XPER,Xperi Inc.,NYQ,Technology,Software - Application,7.8,7.735,0.1880,14.7059,1.1392,0.0020,,,
XNET,Xunlei Limited,NMS,Technology,Software - Infrastructure,5.98,5.53,-2.1700,-13.1621,1.8045,0.6970,,2.5800,0.4004
WSE,Wise Group plc,NMS,Technology,Information Technology Services,12.1,11.76,-9.4902,-25.0649,1.5548,0.0920,-0.1390,4.9600,23.0800
WLTH,Wealthfront Corporation,NMS,Technology,Software - Application,12.19,12.195,2.7546,7.9825,0.6611,0.1630,,,
VYX,NCR Voyix Corporation,NYQ,Technology,Information Technology Services,7.49,7.145,10.8994,1.1822,0.8989,-0.0100,,2.6800,25.9821
VRNS,"Varonis Systems, Inc.",NMS,Technology,Software - Infrastructure,36.11,35.44,18.6508,30.9011,0.7833,0.2690,,7.3800,
VNT,Vontier Corporation,NYQ,Technology,Scientific & Technical Instruments,28.46,28.34,-2.7721,-18.3386,0.8811,0.0130,0.0730,0.8500,10.0389
VNET,"VNET Group, Inc.",NMS,Technology,Information Technology Services,10.6,10.935,0.6536,27.2727,0.9617,0.1980,,0.4500,
VISN,"Vistance Networks, Inc.",NMS,Technology,Communication Equipment,12.27,12.34,-0.4003,0.6472,0.7483,0.2160,6.0260,2.9400,18.2941
VIAV,Viavi Solutions Inc.,NMS,Technology,Communication Equipment,47.49,52.0,-0.3392,0.7430,0.9632,0.4280,-0.6720,1.3400,
VIA,"Via Transportation, Inc.",NYQ,Technology,Software - Application,17.04,15.7,7.6011,-8.3729,0.9048,0.2920,,,
UPBD,"Upbound Group, Inc.",NMS,Technology,Software - Application,19.06,18.7,-1.4823,0.7035,0.7970,0.0370,0.4440,1.3900,12.9236
UMC,United Microelectronics Corpora,NYQ,Technology,Semiconductors,22.89,22.305,0.9901,72.8814,0.9034,0.0550,1.0790,1.7100,35.6191
U,Unity Software Inc.,NYQ,Technology,Software - Application,32.17,30.84,10.7529,10.9127,0.6647,0.1680,,,
TSAT,Telesat Corporation,NMS,Technology,Communication Equipment,49.71,50.09,-12.5567,3.1263,0.7248,-0.2540,,,
