symbol,shortName,exchange,sector,industry,eodprice,regularMarketPrice,pct_1w,pct_1m,rel_volume,revenueGrowth,earningsQuarterlyGrowth,pegRatio,trailingPE
ZETA,Zeta Global Holdings Corp.,NYQ,Technology,Software - Infrastructure,22.02,21.695,-14.1584,26.4586,0.5631,0.4990,,0.7700,
YOU,"Clear Secure, Inc.",NYQ,Technology,Software - Application,54.52,55.565,-2.0694,-2.1211,0.4213,0.1970,0.5270,0.8441,44.4840
YMM,Full Truck Alliance Co. Ltd.,NYQ,Technology,Software - Application,8.59,8.35,-12.1451,-5.1646,0.4568,0.0550,-0.2190,,14.1610
YALA,Yalla Group Limited,NYQ,Technology,Software - Application,5.29,5.34,-5.4867,-23.9316,0.7497,-0.0580,-0.2200,0.5900,6.7595
XYZ,"Block, Inc.",NYQ,Technology,Software - Infrastructure,68.15,69.51,-6.2171,-7.0942,0.6017,0.0490,,0.7600,54.3281
XPER,Xperi Inc.,NYQ,Technology,Software - Application,7.42,7.605,-5.0063,-5.4794,0.3113,0.0020,,,
WSE,Wise Group plc,NMS,Technology,Information Technology Services,11.19,11.01,-4.6794,-28.5714,0.5353,0.0920,-0.1390,4.6000,22.0000
WOLF,"Wolfspeed, Inc.",NYQ,Technology,Semiconductors,55.06,54.62,-10.8022,16.8760,0.9261,-0.1900,,,
WLTH,Wealthfront Corporation,NMS,Technology,Software - Application,9.85,8.115,-34.0780,-29.2502,4.9776,0.0710,-0.5050,,
WK,Workiva Inc.,NYQ,Technology,Software - Application,49.13,48.28,-7.1332,-5.9563,0.6093,0.1990,,,200.9792
WIX,Wix.com Ltd.,NMS,Technology,Software - Infrastructure,52.39,48.67,-14.8589,-39.3535,0.8042,0.1430,,0.1200,
VYX,NCR Voyix Corporation,NYQ,Technology,Information Technology Services,6.91,7.065,-2.8198,-15.3892,0.6277,-0.0100,,2.6800,25.2321
VSH,"Vishay Intertechnology, Inc.",NYQ,Technology,Semiconductors,57.2,56.415,-9.9296,64.2878,1.8458,0.1730,,1.3500,5628.5000
VSAT,"ViaSat, Inc.",NMS,Technology,Communication Equipment,67.18,64.22,-11.6651,-8.3845,1.3697,0.0210,,0.2600,
VRNS,"Varonis Systems, Inc.",NMS,Technology,Software - Infrastructure,32.69,32.88,-8.3891,15.2121,0.2224,0.2690,,7.3800,
VNT,Vontier Corporation,NYQ,Technology,Scientific & Technical Instruments,28.15,28.65,0.9340,-4.7685,0.7275,0.0130,0.0730,0.8400,10.1166
VNET,"VNET Group, Inc.",NMS,Technology,Information Technology Services,8.84,8.895,-17.5788,-0.1685,0.4658,0.1980,,0.4500,
VISN,"Vistance Networks, Inc.",NMS,Technology,Communication Equipment,11.75,11.955,-3.9389,1.9625,0.2714,0.2160,6.0260,2.9400,17.5735
VIAV,Viavi Solutions Inc.,NMS,Technology,Communication Equipment,47.56,48.08,-9.1623,-6.2000,0.6146,0.4280,-0.6720,1.3400,
VIA,"Via Transportation, Inc.",NYQ,Technology,Software - Application,14.74,14.785,-4.2422,-14.5869,0.6212,0.2920,,,
VECO,Veeco Instruments Inc.,NMS,Technology,Semiconductor Equipment & Materials,58.45,60.99,-0.0492,2.6254,0.5406,-0.0540,,0.8100,160.4737
UPBD,"Upbound Group, Inc.",NMS,Technology,Software - Application,18.27,18.868,1.3863,0.4686,0.4134,0.0370,0.4440,1.3900,13.1028
UMC,United Microelectronics Corpora,NYQ,Technology,Semiconductors,19.7,20.035,-10.9083,29.7665,0.8745,0.0550,1.0790,1.4700,32.2742
UCTT,"Ultra Clean Holdings, Inc.",NMS,Technology,Semiconductor Equipment & Materials,82.07,83.56,-7.4271,-4.1217,0.5698,0.0290,,0.9900,
UBER,"Uber Technologies, Inc.",NYQ,Technology,Software - Application,70.71,70.21,-1.9129,-6.8920,0.6954,0.1450,-0.8520,5.7400,17.4318
U,Unity Software Inc.,NYQ,Technology,Software - Application,29.17,28.92,-6.0286,2.6811,0.3817,0.1680,,,
TTAN,"ServiceTitan, Inc.",NMS,Technology,Software - Application,77.4,73.66,-1.7998,16.8465,1.3353,0.2460,,,
TSAT,Telesat Corporation,NMS,Technology,Communication Equipment,44.56,44.5883,-11.0724,-18.4112,1.5308,-0.2540,,,
TRMB,Trimble Inc.,NMS,Technology,Scientific & Technical Instruments,54.19,53.55,-7.2740,-11.9408,0.9431,0.1180,0.4830,3.0200,28.0314
TOST,"Toast, Inc.",NYQ,Technology,Software - Infrastructure,24.64,24.065,-8.7097,-3.9721,0.6398,0.2190,1.2500,0.2300,35.9030
TENB,"Tenable Holdings, Inc.",NMS,Technology,Software - Infrastructure,27.85,27.51,-10.9709,26.0192,0.4361,0.0960,,0.9900,
TDC,Teradata Corporation,NYQ,Technology,Software - Infrastructure,33.7,33.755,-7.5733,6.8218,0.4090,0.0620,6.6140,6.0000,7.7220
TASK,"TaskUs, Inc.",NMS,Technology,Information Technology Services,5.74,5.665,-12.4420,-12.1024,0.8231,0.1030,0.1510,0.3320,5.0133
SWKS,"Skyworks Solutions, Inc.",NMS,Technology,Semiconductors,73.57,75.985,-4.1077,14.5991,0.9168,-0.0100,-0.4820,1.5900,31.6125
SVCO,"Silvaco Group, Inc.",NMS,Technology,Software - Application,11.3,11.37,-6.5735,-1.0444,1.0712,0.2600,,,
STNE,StoneCo Ltd.,NMS,Technology,Software - Infrastructure,10.4,10.565,-6.0053,-1.9034,0.5557,0.0430,2.3170,0.0167,3.8700
STM,STMicroelectronics N.V.,NYQ,Technology,Semiconductors,70.72,75.27,-5.4207,27.0914,0.9677,0.2300,-0.3390,0.5100,470.0000
ST,Sensata Technologies Holding pl,NYQ,Technology,Scientific & Technical Instruments,49.84,50.54,-4.9313,12.7232,0.6765,0.0260,0.2460,0.3000,153.0606
SSYS,"Stratasys, Ltd.",NMS,Technology,Computer Hardware,8.85,8.945,-14.9048,4.8709,0.6226,-0.0250,,2.0600,
SSNC,"SS&C Technologies Holdings, Inc",NMS,Technology,Software - Application,69.91,68.26,0.0586,-0.3286,0.5469,0.0880,0.0620,0.7200,21.1988
SRAD,Sportradar Group AG,NMS,Technology,Software - Application,13.9,15.225,11.0380,16.4877,1.3063,0.1130,,,60.7400
SPSC,"SPS Commerce, Inc.",NMS,Technology,Software - Application,55.47,55.23,-4.3772,-2.1250,0.6777,0.0580,-0.1110,4.5500,22.9336
SONY,Sony Group Corporation,NYQ,Technology,Consumer Electronics,21.89,22.185,-2.6766,10.0744,0.4430,0.1540,-0.5810,1.9900,20.7290
SONO,"Sonos, Inc.",NMS,Technology,Consumer Electronics,15.08,14.96,-9.1985,-0.6972,0.4367,0.0840,,,87.9706
SMCI,"Super Micro Computer, Inc.",NMS,Technology,Computer Hardware,41.64,43.885,-12.7566,23.7489,0.6312,1.2270,3.4440,0.9100,23.0368
SEDG,"SolarEdge Technologies, Inc.",NMS,Technology,Solar,63.17,64.4,-18.1187,55.6538,0.3950,0.4150,,4.6100,
SCSC,"ScanSource, Inc.",NMS,Technology,Electronics & Computer Distribution,46.71,48.375,0.6136,5.3922,0.6171,0.0880,-0.0310,0.7100,14.7036
SAIL,"SailPoint, Inc.",NMS,Technology,Software - Infrastructure,18.24,17.465,-11.9960,42.7637,1.0209,0.2270,,,
