symbol,shortName,exchange,sector,industry,eodprice,regularMarketPrice,pct_1w,pct_1m,rel_volume,revenueGrowth,earningsQuarterlyGrowth,pegRatio,trailingPE,score_raw,score_norm,rank,pct_1w_n,pct_1m_n,rel_volume_n,revenueGrowth_n,earningsQuarterlyGrowth_n,rec_n,insider_n,valuation_n
MX,Magnachip Semiconductor Corpora,NYQ,Technology,Semiconductors,7.83,8.905,40.1345,134.2135,4.1310,0.0330,,1.1300,,0.751883,1.000000,1,0.956981,0.819115,1.000000,0.372731,0.500000,0.500000,0.500000,0.725331
SMCI,"Super Micro Computer, Inc.",NMS,Technology,Computer Hardware,46.88,49.292,31.3695,79.6920,1.3151,1.2270,3.4440,0.9100,26.4053,0.614838,0.727965,2,0.849721,0.552073,0.250692,0.901284,0.348093,0.500000,0.500000,0.899198
OCTV,Octave Intelligence plc,NMS,Technology,Software - Application,20.02,23.3,43.6499,14.3443,2.2940,,,,21.8348,0.598935,0.696398,3,1.000000,0.232004,0.511176,0.500000,0.500000,0.500000,0.500000,0.683268
RXT,"Rackspace Technology, Inc.",NMS,Technology,Software - Infrastructure,5.92,5.45,17.7106,171.1443,0.7433,0.0190,,4.9300,,0.569143,0.637261,4,0.682574,1.000000,0.098536,0.366534,0.500000,0.500000,0.500000,0.641940
SAIL,"SailPoint, Inc.",NMS,Technology,Software - Infrastructure,19.25,19.6,27.5064,63.2922,1.8578,0.2270,,,,0.558899,0.616925,5,0.802448,0.471747,0.395104,0.458610,0.500000,0.500000,0.500000,0.500000
ZETA,Zeta Global Holdings Corp.,NYQ,Technology,Software - Infrastructure,25.22,24.76,29.6763,36.7010,1.5256,0.4990,,0.7700,,0.551076,0.601398,6,0.829001,0.341506,0.306706,0.579017,0.500000,0.500000,0.500000,0.733232
PD,"PagerDuty, Inc.",NYQ,Technology,Software - Application,10.69,10.2524,41.0292,36.6577,0.9147,0.0100,,,4.8986,0.539661,0.578738,7,0.967930,0.341293,0.144146,0.362550,0.500000,0.500000,0.500000,0.735996
TENB,"Tenable Holdings, Inc.",NMS,Technology,Software - Infrastructure,29.32,29.97,26.3804,48.3437,1.2114,0.0960,,0.9900,,0.515954,0.531680,8,0.788669,0.398531,0.223097,0.400620,0.500000,0.500000,0.500000,0.728404
SVCO,"Silvaco Group, Inc.",NMS,Technology,Software - Application,10.67,11.95,24.1837,5.0043,2.2306,0.2600,,,,0.512759,0.525337,9,0.761787,0.186257,0.494305,0.473218,0.500000,0.500000,0.500000,0.500000
PICS,PicS N.V.,NMS,Technology,Software - Infrastructure,11.07,10.915,3.1394,-4.1202,1.5578,0.6870,11.3060,0.0059,6.6886,0.492848,0.485815,10,0.504262,0.141566,0.315274,0.662240,1.000000,0.500000,0.500000,0.980423
PONY,Pony AI Inc.,NMS,Technology,Information Technology Services,10.79,10.76,11.1910,4.1346,1.0929,1.4500,,,,0.485276,0.470784,11,0.602792,0.181997,0.191565,1.000000,0.500000,0.500000,0.500000,0.500000
