symbol,shortName,exchange,sector,industry,eodprice,regularMarketPrice,pct_1w,pct_1m,rel_volume,revenueGrowth,earningsQuarterlyGrowth,pegRatio,trailingPE,score_raw,score_norm,rank,pct_1w_n,pct_1m_n,rel_volume_n,revenueGrowth_n,earningsQuarterlyGrowth_n,rec_n,insider_n,valuation_n
MX,Magnachip Semiconductor Corpora,NYQ,Technology,Semiconductors,8.34,8.93,31.5169,150.8427,4.0404,0.0330,,1.1300,,0.771780,1.000000,1,0.989394,0.958556,1.000000,0.253691,0.500000,0.500000,0.500000,0.725557
VSH,"Vishay Intertechnology, Inc.",NYQ,Technology,Semiconductors,62.49,63.97,22.4541,109.2574,2.9728,0.1730,,1.3500,6397.0005,0.639686,0.761446,2,0.815444,0.752435,0.708648,0.295872,0.500000,0.500000,0.500000,0.470727
SVCO,"Silvaco Group, Inc.",NMS,Technology,Software - Application,12.17,12.68,31.1272,9.4047,3.4220,0.2600,,,,0.619623,0.725212,3,0.981914,0.257506,0.831237,0.322085,0.500000,0.500000,0.500000,0.500000
PENG,"Penguin Solutions, Inc.",NMS,Technology,Information Technology Services,70.65,71.41,32.0695,120.4012,1.4824,-0.0620,3.6340,0.2807,102.0143,0.604239,0.697429,4,1.000000,0.807670,0.301913,0.225068,0.069752,0.500000,0.500000,0.986258
OKTA,"Okta, Inc.",NMS,Technology,Software - Infrastructure,135.32,124.65,31.5984,61.3801,1.5004,0.1120,0.1940,1.2800,90.3261,0.550212,0.599860,5,0.990958,0.515127,0.306825,0.277493,0.017407,0.500000,0.500000,0.965232
MU,"Micron Technology, Inc.",NMS,Technology,Semiconductors,1064.1,1079.57,16.8973,87.2790,0.8262,1.9630,7.7080,0.3700,51.0194,0.545761,0.591822,6,0.708789,0.643497,0.122834,0.835191,0.131743,0.500000,0.500000,0.988284
SNDK,Sandisk Corporation,NMS,Technology,Computer Hardware,1716.36,1831.5,11.5653,45.8363,0.7408,2.5100,,,62.5085,0.525944,0.556033,7,0.606448,0.438082,0.099528,1.000000,0.500000,0.500000,0.500000,0.745143
NTAP,"NetApp, Inc.",NMS,Technology,Software - Infrastructure,175.64,181.08,27.1629,63.2234,1.2293,0.1250,0.1880,1.9300,28.4717,0.517099,0.540060,8,0.905824,0.524263,0.232841,0.281410,0.017316,0.500000,0.500000,0.955796
RXT,"Rackspace Technology, Inc.",NMS,Technology,Software - Infrastructure,5.45,5.21,7.4227,159.2040,0.6598,0.0190,,4.9300,,0.508356,0.524270,9,0.526936,1.000000,0.077423,0.249473,0.500000,0.500000,0.500000,0.642126
SMCI,"Super Micro Computer, Inc.",NMS,Technology,Computer Hardware,50.17,47.42,14.8184,69.8424,1.2254,1.2270,3.4440,0.9100,24.9579,0.501980,0.512756,10,0.668887,0.557071,0.231777,0.613438,0.066860,0.500000,0.500000,0.978465
PD,"PagerDuty, Inc.",NYQ,Technology,Software - Application,10.14,9.3,25.0000,25.3369,0.9644,0.0100,,,4.4928,0.498756,0.506934,11,0.864310,0.336475,0.160549,0.246761,0.500000,0.500000,0.500000,0.749678
SAIL,"SailPoint, Inc.",NMS,Technology,Software - Infrastructure,19.84,18.38,11.0574,51.2757,2.2105,0.2270,,,,0.498333,0.506169,12,0.596699,0.465043,0.500614,0.312142,0.500000,0.500000,0.500000,0.500000
TENB,"Tenable Holdings, Inc.",NMS,Technology,Software - Infrastructure,30.9,29.69,14.4123,42.5348,1.8325,0.0960,,0.9900,,0.495213,0.500535,13,0.661092,0.421718,0.397457,0.272672,0.500000,0.500000,0.500000,0.728631
OCTVV,Octave Intelligence plc,NMS,Technology,Software - Application,,17.48,14.6628,-10.9745,,,,,15.2000,0.492086,0.494888,14,0.665900,0.156494,0.500000,0.500000,0.500000,0.500000,0.500000,0.748841
PANW,"Palo Alto Networks, Inc.",NMS,Technology,Software - Infrastructure,297.18,280.43,8.7908,51.9452,1.7641,0.3110,,4.9800,243.8522,0.482672,0.477887,15,0.553195,0.468362,0.378790,0.337451,0.500000,0.500000,0.500000,0.871996
NTSK,"Netskope, Inc.",NMS,Technology,Software - Infrastructure,12.09,12.4,7.5455,20.1550,2.8492,0.3220,,,,0.481274,0.475361,16,0.529293,0.310790,0.674917,0.340765,0.500000,0.500000,0.500000,0.500000
ZETA,Zeta Global Holdings Corp.,NYQ,Technology,Software - Infrastructure,25.25,23.27,15.3122,26.0563,1.3654,0.4990,,0.7700,,0.480942,0.474763,17,0.678365,0.340041,0.269983,0.394095,0.500000,0.500000,0.500000,0.733461
RAMP,"LiveRamp Holdings, Inc.",NYQ,Technology,Software - Infrastructure,37.58,37.4,-0.5054,23.3916,3.5563,0.0920,,0.5900,16.7713,0.476107,0.466031,18,0.374766,0.326833,0.867887,0.271467,0.500000,0.500000,0.500000,0.986131
VPG,"Vishay Precision Group, Inc.",NYQ,Technology,Scientific & Technical Instruments,132.93,129.93,3.7365,116.4418,0.9381,0.1760,,7.2200,288.7333,0.472778,0.460018,19,0.456184,0.788045,0.153372,0.296776,0.500000,0.500000,0.500000,0.819307
UIS,Unisys Corporation New,NYQ,Technology,Information Technology Services,4.62,4.22,8.4833,55.1470,1.8077,0.0130,,0.6300,,0.470823,0.456487,20,0.547292,0.484232,0.390689,0.247665,0.500000,0.500000,0.500000,0.736535
RBRK,"Rubrik, Inc.",NYQ,Technology,Software - Infrastructure,82.33,79.46,12.9977,37.1655,1.3603,0.4630,,,,0.469901,0.454822,21,0.633941,0.395105,0.268592,0.383248,0.500000,0.500000,0.500000,0.500000
TWLO,Twilio Inc.,NYQ,Technology,Software - Infrastructure,229.3,227.26,23.1094,19.8186,1.2815,0.2000,3.5030,0.4300,344.3333,0.466729,0.449095,22,0.828022,0.309123,0.247087,0.304007,0.067758,0.500000,0.500000,0.964039
OCTV,Octave Intelligence plc,NMS,Technology,Software - Application,25.11,19.74,15.7771,-10.1093,1.2268,,,,17.1652,0.458666,0.434533,23,0.687288,0.160783,0.232159,0.500000,0.500000,0.500000,0.500000,0.748687
P,"Everpure, Inc.",NYQ,Technology,Computer Hardware,82.98,80.84,10.6791,11.1203,1.2352,,,1.7600,122.4848,0.456657,0.430906,24,0.589438,0.266009,0.234451,0.500000,0.500000,0.500000,0.500000,0.952180
NET,"Cloudflare, Inc.",NYQ,Technology,Software - Infrastructure,272.66,265.33,16.3167,18.3611,0.8809,0.3350,,2.3800,,0.452652,0.423672,25,0.697645,0.301899,0.137762,0.344682,0.500000,0.500000,0.500000,0.698112
TTAN,"ServiceTitan, Inc.",NMS,Technology,Software - Application,75.01,72.63,10.3967,13.8044,1.9404,0.2140,,,,0.449824,0.418565,26,0.584018,0.279313,0.426903,0.308225,0.500000,0.500000,0.500000,0.500000
PDFS,"PDF Solutions, Inc.",NMS,Technology,Software - Application,55.48,55.14,12.6916,24.1892,1.0377,0.2590,,4.1900,306.3333,0.447631,0.414604,27,0.628065,0.330786,0.180553,0.321784,0.500000,0.500000,0.500000,0.884457
NOK,Nokia Corporation Sponsored,NYQ,Technology,Communication Equipment,16.85,16.73,9.4895,27.3211,1.5392,0.0240,,1.6000,104.5625,0.447428,0.414237,28,0.566605,0.346310,0.317414,0.250979,0.500000,0.500000,0.500000,0.957093
